artist;song;duration_ms
Britney Spears;Oops!...I Did It Again;211160
blink-182;All The Small Things;167066
Faith Hill;Breathe;250546
Bon Jovi;It's My Life;224493
*NSYNC;Bye Bye Bye;200560
Sisqo;Thong Song;253733
Eminem;The Real Slim Shady;284200
Robbie Williams;Rock DJ;258560
Destiny's Child;Say My Name;271333
Modjo;Lady - Hear Me Tonight;307153
Gigi D'Agostino;L'Amour Toujours;238759
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;268863
Bomfunk MC's;Freestyler;306333
Sting;Desert Rose;285960
Melanie C;Never Be The Same Again;294200
Aaliyah;Try Again;284000
Anastacia;I'm Outta Love - Radio Edit;245400
Alice Deejay;Better Off Alone;214883
Gigi D'Agostino;The Riddle;285426
Dr. Dre;The Next Episode;161506
Linkin Park;In the End;216880
Tom Jones;Sexbomb;211893
Sonique;It Feels So Good;240866
M.O.P.;Cold as Ice;244466
Melanie C;I Turn To You;352173
Limp Bizkit;Take A Look Around;321040
Darude;Sandstorm;225493
Da Brat;What'chu Like (feat. Tyrese);221160
Moloko;The Time Is Now;318280
Chicane;Don't Give Up;210786
DMX;Party Up;268866
Debelah Morgan;Dance with Me;220106
Madonna;Music;225973
Ruff Endz;No More;242560
Britney Spears;Born to Make You Happy;243533
Montell Jordan;Get It On Tonite;276266
Kylie Minogue;Spinning Around;207866
JAY-Z;Big Pimpin';283066
LeAnn Rimes;I Need You;229826
Avant;Separated;255600
Enrique Iglesias;Be With You;219360
Toni Braxton;He Wasn't Man Enough;261933
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;175893
Dr. Dre;Forgot About Dre;222293
Missy Elliott;Hot Boyz;215466
Backstreet Boys;Show Me the Meaning of Being Lonely;234960
Samantha Mumba;Gotta Tell You;201946
Mýa;Case Of The Ex (Whatcha Gonna Do);236906
Mary Mary;Shackles (Praise You);198346
Next;Wifey;243666
Janet Jackson;Doesn't Really Matter;265026
Ricky Martin;She Bangs - English Version;280626
Jagged Edge;He Can't Love U;244053
Sisqo;Incomplete;274226
JAY-Z;I Just Wanna Love U (Give It 2 Me);227866
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360
Baha Men;Who Let The Dogs Out;198400
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";243733
LeAnn Rimes;Can't Fight The Moonlight;215506
Oasis;Go Let It Out;278666
DJ Ötzi;Hey Baby (Radio Mix);219240
P!nk;Most Girls;298960
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);199480
Craig David;Fill Me In;257200
Christina Aguilera;I Turn to You;273706
Madonna;American Pie;273533
Red Hot Chili Peppers;Otherside;255373
Sammie;I Like It;251040
Craig David;7 Days;235133
Santana;Maria Maria (feat. The Product G&B);261973
Kandi;Don't Think I'm Not;243533
P!nk;There You Go;202800
Vengaboys;Shalala Lala;214819
Ronan Keating;Life Is A Rollercoaster;234826
Madison Avenue;Don't Call Me Baby;228140
Destiny's Child;Jumpin', Jumpin';230200
Céline Dion;That's the Way It Is;241373
3 Doors Down;Kryptonite;233933
Carl Thomas;I Wish;226760
Mystikal;Shake Ya Ass;256973
Fuel;Hemorrhage (In My Hands);236866
Donell Jones;Where I Wanna Be;253626
Savage Garden;Crash and Burn;281466
Westlife;My Love;231760
All Saints;Pure Shores;268746
Destiny's Child;Independent Women, Pt. 1;221133
*NSYNC;It's Gonna Be Me;191040
Erykah Badu;Bag Lady;348893
Marc Anthony;You Sang To Me;347106
Matchbox Twenty;Bent;256133
Gabrielle;Rise;219093
Backstreet Boys;Shape of My Heart;230093
Creed;With Arms Wide Open;274800
The Corrs;Breathless;207506
Joe;I Wanna Know;296693
Christina Aguilera;Come on over Baby (All I Want Is You) - Radio Version;203333
Creed;Higher;316733
Britney Spears;Lucky;206226
Nelly;Country Grammar (Hot Shit);287000
Shaggy;It Wasn't Me;227600
Destiny's Child;Survivor;254026
Eminem;Stan;404106
Kylie Minogue;Can't Get You out of My Head;230640
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";264893
Nelly Furtado;I'm Like A Bird;243160
Shakira;Whenever, Wherever;196160
Jimmy Eat World;The Middle;165853
Train;Drops of Jupiter (Tell Me);259933
Geri Halliwell;It's Raining Men;254640
Blu Cantrell;Hit 'Em Up Style (Oops!);250706
Britney Spears;I'm a Slave 4 U;203600
Kylie Minogue;In Your Eyes;197826
Missy Elliott;One Minute Man (feat. Ludacris);252986
Mary J. Blige;Family Affair;265866
Faithless;We Come 1 - Radio Edit;222435
Limp Bizkit;Rollin' (Air Raid Vehicle);213760
Lasgo;Something;220973
iio;Rapture (feat.Nadia Ali);253586
Emma Bunton;What Took You So Long?;241000
112;It's Over Now;264933
Blue;All Rise;223546
Jessica Simpson;Irresistible;194026
Crazy Town;Butterfly;216733
Michael Jackson;You Rock My World;337733
Eve;Let Me Blow Ya Mind;230133
Jennifer Lopez;Ain't It Funny;246160
Brandy;Another Day in Paradise - R&B-Version;271626
Nickelback;How You Remind Me;223840
Daft Punk;One More Time;320357
Outkast;Ms. Jackson;270506
Fragma;Everytime You Need Me - Radio Version;213346
Mariah Carey;Loverboy;229173
Dido;Thank You;218360
Joe;Stutter (feat. Mystikal) - Double Take Remix;213026
P.O.D.;Youth of the Nation;256240
Jennifer Lopez;Play;211493
Missy Elliott;Get Ur Freak On;211120
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);252706
Christina Milian;AM To PM;231213
Roger Sanchez;Another Chance;452906
Gorillaz;Clint Eastwood;340920
2Pac;Until The End Of Time;266506
Tamia;Stranger in My House;285386
Mary J. Blige;No More Drama;326240
Jennifer Lopez;Love Don't Cost a Thing;221226
Jamiroquai;Little L;295400
Case;Missing You;284666
112;Peaches & Cream;193093
Five;Let's Dance - Radio Edit;218626
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213133
Alien Ant Farm;Smooth Criminal;209266
Erick Sermon;Music (feat. Marvin Gaye);223133
D12;Purple Pills;304506
Usher;Pop Ya Collar - Radio Edit;210813
Madonna;Don't Tell Me;280973
Blue;If You Come Back;207560
Atomic Kitten;Eternal Flame - Single Version;195506
Jagged Edge;Where the Party At (feat. Nelly);232573
Afroman;Because I Got High;197760
S Club 7;Don't Stop Movin';233626
Craig David;Fill Me In;257200
Nelly Furtado;Turn Off The Light;276106
The Supermen Lovers;Starlight - Radio Edit;234400
Mis-Teeq;All I Want - Sunship Radio Edit;207400
Jagged Edge;Promise;246720
S Club 7;Have You Ever;201533
Enya;Only Time;218546
Faith Hill;There You'll Be;222120
Ronan Keating;Lovin' Each Day;212973
Destiny's Child;Bootylicious;207906
Steps;It's the Way You Make Me Feel;197360
Sunshine Anderson;Heard It All Before;295826
Lenny Kravitz;Again;231666
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;162333
DB Boulevard;Point Of View - Radio Edit;231166
Janet Jackson;All For You;329933
Atomic Kitten;Whole Again;185013
Ja Rule;Livin' It Up;257066
Destiny's Child;Independent Women, Pt. 1;221133
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217120
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133
Musiq Soulchild;Love;304666
So Solid Crew;21 Seconds;302826
Robbie Williams;Eternity;302760
Basement Jaxx;Romeo;217493
Ludacris;Southern Hospitality (Featuring Pharrell);300933
Gabrielle;Rise;219093
Nelly;Ride Wit Me;291781
Trick Daddy;I'm a Thug;254400
Travis;Sing;228800
JAY-Z;Izzo (H.O.V.A.);240626
Gabrielle;Out Of Reach;196986
OPM;Heaven Is a Halfpipe (If I Die);257426
K-Ci & JoJo;Crazy;262773
Staind;It's Been Awhile;264706
3LW;No More (Baby I'ma Do Right);263440
Ginuwine;Differences;265533
*NSYNC;Gone;292000
Lifehouse;Hanging By A Moment;216360
