artist;song;popularity
Britney Spears;Oops!...I Did It Again;77
blink-182;All The Small Things;79
Faith Hill;Breathe;66
Bon Jovi;It's My Life;78
*NSYNC;Bye Bye Bye;65
Sisqo;Thong Song;69
Eminem;The Real Slim Shady;86
Robbie Williams;Rock DJ;68
Destiny's Child;Say My Name;75
Modjo;Lady - Hear Me Tonight;77
Gigi D'Agostino;L'Amour Toujours;1
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;56
Bomfunk MC's;Freestyler;55
Sting;Desert Rose;62
Melanie C;Never Be The Same Again;61
Aaliyah;Try Again;53
Anastacia;I'm Outta Love - Radio Edit;64
Alice Deejay;Better Off Alone;73
Gigi D'Agostino;The Riddle;64
Dr. Dre;The Next Episode;82
Linkin Park;In the End;83
Tom Jones;Sexbomb;65
Sonique;It Feels So Good;62
M.O.P.;Cold as Ice;54
Melanie C;I Turn To You;54
Limp Bizkit;Take A Look Around;72
Darude;Sandstorm;69
Da Brat;What'chu Like (feat. Tyrese);53
Moloko;The Time Is Now;54
Chicane;Don't Give Up;47
DMX;Party Up;71
Debelah Morgan;Dance with Me;49
Madonna;Music;58
Ruff Endz;No More;52
Britney Spears;Born to Make You Happy;58
Montell Jordan;Get It On Tonite;59
Kylie Minogue;Spinning Around;55
JAY-Z;Big Pimpin';69
LeAnn Rimes;I Need You;61
Avant;Separated;55
Enrique Iglesias;Be With You;54
Toni Braxton;He Wasn't Man Enough;66
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;36
Dr. Dre;Forgot About Dre;79
Missy Elliott;Hot Boyz;49
Backstreet Boys;Show Me the Meaning of Being Lonely;68
Samantha Mumba;Gotta Tell You;43
Mýa;Case Of The Ex (Whatcha Gonna Do);59
Mary Mary;Shackles (Praise You);64
Next;Wifey;52
Janet Jackson;Doesn't Really Matter;47
Ricky Martin;She Bangs - English Version;60
Jagged Edge;He Can't Love U;55
Sisqo;Incomplete;60
JAY-Z;I Just Wanna Love U (Give It 2 Me);59
Mariah Carey;Thank God I Found You (feat. Joe & 98°);59
Baha Men;Who Let The Dogs Out;65
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";63
LeAnn Rimes;Can't Fight The Moonlight;65
Oasis;Go Let It Out;0
DJ Ötzi;Hey Baby (Radio Mix);58
P!nk;Most Girls;52
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);0
Craig David;Fill Me In;60
Christina Aguilera;I Turn to You;61
Madonna;American Pie;58
Red Hot Chili Peppers;Otherside;78
Sammie;I Like It;55
Craig David;7 Days;70
Santana;Maria Maria (feat. The Product G&B);66
Kandi;Don't Think I'm Not;55
P!nk;There You Go;55
Vengaboys;Shalala Lala;58
Ronan Keating;Life Is A Rollercoaster;59
Madison Avenue;Don't Call Me Baby;56
Destiny's Child;Jumpin', Jumpin';70
Céline Dion;That's the Way It Is;64
3 Doors Down;Kryptonite;78
Carl Thomas;I Wish;52
Mystikal;Shake Ya Ass;57
Fuel;Hemorrhage (In My Hands);49
Donell Jones;Where I Wanna Be;57
Savage Garden;Crash and Burn;54
Westlife;My Love;68
All Saints;Pure Shores;62
Destiny's Child;Independent Women, Pt. 1;65
*NSYNC;It's Gonna Be Me;60
Erykah Badu;Bag Lady;54
Marc Anthony;You Sang To Me;56
Matchbox Twenty;Bent;54
Gabrielle;Rise;60
Backstreet Boys;Shape of My Heart;70
Creed;With Arms Wide Open;64
The Corrs;Breathless;68
Joe;I Wanna Know;65
Wheatus;Teenage Dirtbag;71
Christina Aguilera;Come on over Baby (All I Want Is You) - Radio Version;64
Creed;Higher;69
Britney Spears;Lucky;65
Nelly;Country Grammar (Hot Shit);68
Shaggy;It Wasn't Me;76
Destiny's Child;Survivor;70
Eminem;Stan;83
Kylie Minogue;Can't Get You out of My Head;73
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";68
Nelly Furtado;I'm Like A Bird;1
Shakira;Whenever, Wherever;74
Jimmy Eat World;The Middle;78
Train;Drops of Jupiter (Tell Me);77
Geri Halliwell;It's Raining Men;62
Blu Cantrell;Hit 'Em Up Style (Oops!);71
Britney Spears;I'm a Slave 4 U;69
Kylie Minogue;In Your Eyes;62
Missy Elliott;One Minute Man (feat. Ludacris);57
Mary J. Blige;Family Affair;76
Faithless;We Come 1 - Radio Edit;53
Limp Bizkit;Rollin' (Air Raid Vehicle);73
Lasgo;Something;65
iio;Rapture (feat.Nadia Ali);54
Emma Bunton;What Took You So Long?;54
112;It's Over Now;57
Blue;All Rise;63
Jessica Simpson;Irresistible;43
Crazy Town;Butterfly;71
Michael Jackson;You Rock My World;64
Eve;Let Me Blow Ya Mind;73
Jennifer Lopez;Ain't It Funny;0
Brandy;Another Day in Paradise - R&B-Version;50
Nickelback;How You Remind Me;78
Daft Punk;One More Time;76
Outkast;Ms. Jackson;82
Fragma;Everytime You Need Me - Radio Version;50
Mariah Carey;Loverboy;42
Dido;Thank You;73
Joe;Stutter (feat. Mystikal) - Double Take Remix;57
P.O.D.;Youth of the Nation;69
Jennifer Lopez;Play;57
Missy Elliott;Get Ur Freak On;68
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);52
Christina Milian;AM To PM;60
Roger Sanchez;Another Chance;50
Gorillaz;Clint Eastwood;74
2Pac;Until The End Of Time;57
Tamia;Stranger in My House;48
Mary J. Blige;No More Drama;61
Jennifer Lopez;Love Don't Cost a Thing;67
Jamiroquai;Little L;65
Case;Missing You;55
112;Peaches & Cream;63
Five;Let's Dance - Radio Edit;47
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];54
Alien Ant Farm;Smooth Criminal;75
Erick Sermon;Music (feat. Marvin Gaye);57
D12;Purple Pills;68
Usher;Pop Ya Collar - Radio Edit;26
Madonna;Don't Tell Me;53
Blue;If You Come Back;58
Atomic Kitten;Eternal Flame - Single Version;58
Jagged Edge;Where the Party At (feat. Nelly);67
Afroman;Because I Got High;68
S Club 7;Don't Stop Movin';63
Craig David;Fill Me In;60
Nelly Furtado;Turn Off The Light;1
The Supermen Lovers;Starlight - Radio Edit;61
Mis-Teeq;All I Want - Sunship Radio Edit;46
Jagged Edge;Promise;56
